Category,VariableName,ExtractedValue,Notes
Study identifiers,study_id,AlMohamady_2016,Internal ID constructed as FirstAuthor_Year
Study identifiers,first_author,Al Mohamady,
Study identifiers,publication_year,2016,
Study identifiers,journal,International Journal of Fertility and Sterility,
Study identifiers,doi,,DOI not reported in article text provided
Study identifiers,country,Egypt,"Kasr El-Aini Hospital, Cairo University"
Study identifiers,setting,"Outpatient clinic and casualty department, Obstetrics and Gynecology, Kasr El-Aini Hospital",
Study identifiers,study_design,Prospective comparative case-control study,
Study identifiers,recruitment_period,March 2013–October 2013,
Study identifiers,funding_source,Not reported,
Study identifiers,registration_id,Not reported,
Eligibility & sample,sample_size_total,100,105 initially recruited; 5 dropped out; 100 analyzed
Eligibility & sample,n_tm,100,All had first-trimester threatened miscarriage
Eligibility & sample,n_miscarriage,20,Group 1
Eligibility & sample,n_ongoing,80,Group 2; continued to at least 20 weeks
Eligibility & sample,inclusion_criteria,"Women 20–40 years with singleton spontaneous pregnancy, 7–13 weeks gestation, vaginal bleeding/spotting, viable intrauterine pregnancy with visible gestational sac and cardiac activity on ultrasound; regular cycles with LMP correlating with ultrasound.",
Eligibility & sample,exclusion_criteria,"History of diabetes or thyroid disease; fibroids or adnexal masses; uterine malformations (e.g., hypoplastic or septate uterus); recurrent miscarriages; maternal diseases that increase CA-125 (chronic pelvic infection, endometriosis); abnormal dating scan (blighted ovum, missed miscarriage).",
Eligibility & sample,ga_range_included,7–13 weeks,Gestational age at recruitment
Eligibility & sample,maternal_age_range,20–40 years,
Baseline maternal,mean_maternal_age,,Not numerically reported; only that no significant difference between groups
Baseline maternal,parity_distribution,,Parity mentioned but not given numerically
Baseline maternal,prior_miscarriage_any_n,,Women with recurrent miscarriage history were excluded; exact counts not reported
Baseline maternal,assisted_conception_n,,Not reported
Presentation,ga_at_presentation_group1_mean_weeks,8.8,Group 1 miscarried; from Table 1
Presentation,ga_at_presentation_group2_mean_weeks,9.2,Group 2 continued; Table 1 P=0.304 (NS)
Presentation,bleeding_required,Yes,All presented with vaginal bleeding or spotting
Presentation,bleeding_severity,,Amount of bleeding assessed clinically but not quantified in categories in results
Presentation,pain_recorded,,Abdominal pain not explicitly reported
Ultrasound predictors,ultrasound_machine,"Accuvix (Medison, Korea)",4–7 MHz endovaginal probe
Ultrasound predictors,probe_frequency_mhz,4–7,Endovaginal
Ultrasound predictors,viable_iup_confirmed_definition,Visible gestational sac with living embryo verified by cardiac activity on real-time ultrasound,
Ultrasound predictors,gremium_ga_assessment_method,Gestational age assessed from LMP (preceded by 3 regular cycles) and correlated with ultrasound measurements,
Ultrasound predictors,gsd_group1_mean_mm,30.0,Gestational sac diameter (miscarried group)
Ultrasound predictors,gsd_group2_mean_mm,37.7,Gestational sac diameter (continued group); P=0.023
Ultrasound predictors,crl_group1_mean_mm,24.0,Crown–rump length (miscarried group); P=0.317 vs group 2
Ultrasound predictors,crl_group2_mean_mm,28.5,Crown–rump length (continued group)
Ultrasound predictors,fhr_group1_mean_bpm,122,Fetal heart rate (miscarried group)
Ultrasound predictors,fhr_group2_mean_bpm,156.9,Fetal heart rate (continued group); P<0.001
Ultrasound predictors,sch_present_group1_n,5,Presence of subchorionic hematoma in miscarried group (n=20)
Ultrasound predictors,sch_present_group2_n,2,Presence of subchorionic hematoma in continued group (n=80); P=0.002 overall
Ultrasound predictors,sch_size_measurement,,Presence/absence only; size and site not quantified
Biochemical markers,ca125_assay_type,"Direct chemiluminometric assay (ADVIA Centaur, Bayer Health Care Diagnostics, USA)",
Biochemical markers,ca125_unit,IU/ml,
Biochemical markers,ca125_group1_mean,54.28,Mean CA-125 in miscarried group ± SD 11.4 IU/ml
Biochemical markers,ca125_group1_sd,11.4,
Biochemical markers,ca125_group2_mean,18.81,Mean CA-125 in continued group ± SD 8.02 IU/ml
Biochemical markers,ca125_group2_sd,8.02,
Biochemical markers,progesterone_assay_type,"Direct chemiluminometric assay (ADVIA Centaur, Bayer Health Care Diagnostics, USA)",
Biochemical markers,progesterone_unit,ng/ml,
Biochemical markers,progesterone_group1_mean,8.7,Mean serum progesterone in miscarried group ± SD 1.85 ng/ml
Biochemical markers,progesterone_group1_sd,1.85,
Biochemical markers,progesterone_group2_mean,26.3,Mean serum progesterone in continued group ± SD 7.2 ng/ml
Biochemical markers,progesterone_group2_sd,7.2,
Biochemical markers,blood_sample_volume_ml,5,5 ml venous sample
Biochemical markers,sample_handling,Serum separated after clotting by centrifugation at 3000 rpm for 10 minutes; stored at -80°C until batch analysis,
Biochemical markers,correlation_ca125_progesterone_r,-0.716,"CA-125 vs progesterone, P<0.001"
Biochemical markers,correlation_ca125_fhr_r,-0.414,"CA-125 vs FHR, P<0.001"
Biochemical markers,correlation_progesterone_gsd_r,0.521,"Progesterone vs GSD, P<0.001"
Biochemical markers,correlation_progesterone_crl_r,0.407,"Progesterone vs CRL, P<0.001"
Biochemical markers,correlation_progesterone_fhr_r,0.363,"Progesterone vs FHR, P<0.001"
Outcomes,outcome_primary_definition,Miscarriage before 20 weeks vs continuation of pregnancy to at least 20 weeks,Follow-up until 20 weeks gestation
Outcomes,followup_end_ga_weeks,20,
Performance metrics,ca125_cutoff_main,31.2,IU/ml; threshold for predicting miscarriage
Performance metrics,ca125_sensitivity_main_cutoff,96.2,Percent
Performance metrics,ca125_specificity_main_cutoff,100,Percent
Performance metrics,ca125_overall_accuracy,99.4,Percent; as reported
Performance metrics,progesterone_cutoff_main,11.5,ng/ml; threshold for predicting miscarriage
Performance metrics,progesterone_sensitivity_main_cutoff,97.5,Percent
Performance metrics,progesterone_specificity_main_cutoff,100,Percent
Performance metrics,progesterone_overall_accuracy,99.8,Percent; as reported
Performance metrics,auc_ca125,,ROC used but AUC not numerically reported
Performance metrics,auc_progesterone,,ROC used but AUC not numerically reported
Study identifiers,study_id,Cao_2025,Internal ID constructed as FirstAuthor_Year
Study identifiers,first_author,Cao,Yurong Cao
Study identifiers,publication_year,2025,
Study identifiers,journal,PLOS One,
Study identifiers,doi,10.1371/journal.pone.0326384,
Study identifiers,country,"Multinational (Asia, Europe, Africa)","Included study populations: Asia, Europe, Africa"
Study identifiers,setting,Hospital-based threatened abortion populations from 13 primary studies,
Study identifiers,study_design,Systematic review and meta-analysis of prognostic accuracy,
Study identifiers,prisma_followed,Yes,Followed PRISMA 2020 guidelines
Study identifiers,prospero_registration_id,CRD42024600834,International Prospective Register of Systematic Reviews
Study identifiers,search_databases,Web of Science; Medline via PubMed; ScienceDirect; EMBASE; Geenmedical; Cochrane Library; Wiley,
Study identifiers,search_period,"Inception to May 30, 2024",
Study identifiers,search_terms,(serum cancer antigen125 OR serum CA125 OR CA125 OR CA-125) AND (threatened abortion OR threatened miscarriage OR pregnancy loss OR first trimester abortion OR first trimester pregnancy OR early pregnancy failure OR pregnancy outcome),
Study identifiers,funding_source,No specific funding,Authors reported no specific funding
Study identifiers,registration_id,CRD42024600834,Same as PROSPERO registration
Eligibility & sample,sample_size_total,1166,Total patients with threatened abortion across 13 included studies
Eligibility & sample,n_miscarriage,387,Total miscarriage cases across included studies
Eligibility & sample,n_ongoing,779,Patients with ongoing or normal pregnancy/delivery after follow-up
Eligibility & sample,number_of_included_studies,13,
Eligibility & sample,inclusion_criteria,"Patients with threatened abortion defined per ACOG: 5–20 weeks gestation with vaginal bleeding and/or abdominal pain, closed cervical os, intact membranes, viable intrauterine pregnancy with fetal cardiac activity on ultrasound; studies evaluating CA125 prognostic value for miscarriage with sensitivity and specificity available.",
Eligibility & sample,exclusion_criteria,"Case reports, conference abstracts, systematic reviews, animal experiments, letters; duplicate publications; studies without threatened abortion populations; studies without sensitivity/specificity data or with inconsistent data.",
Eligibility & sample,ga_range_included,5–20 weeks gestation,Threatened abortion defined before 20 weeks; included studies ranged roughly 5–19+6 weeks
Eligibility & sample,continents_distribution,Asia (1/13; 135 patients); Europe (4/13; 718 patients); Africa (8/13; 313 patients),
Outcomes,outcome_primary_definition,Miscarriage after presentation with threatened abortion versus ongoing pregnancy/normal delivery,"Miscarriage confirmed clinically, by ultrasound, or histopathology during follow-up"
Outcomes,followup_end_ga_weeks,,Follow-up deadlines varied (≤20 weeks vs >20 weeks) across studies; used as covariate in meta-regression
Outcomes,outcomes_extracted_per_study,"Sensitivity, specificity, TP, FP, TN, FN, miscarriage diagnosis and follow-up deadlines",
Biochemical markers,index_test,Serum CA125,Single biomarker as the prognostic index test
Biochemical markers,cutoff_range_across_studies,21–125 IU/mL,Europe: 43–125 IU/mL; Africa: 21–80 IU/mL; Asia: 55 U/mL
Biochemical markers,regional_cutoff_pattern,Higher optimal cut-offs in European studies; lower in African studies; Asia intermediate,
Performance metrics,pooled_sensitivity,0.89,Sensitivity 89% (95% CI 0.83–0.93)
Performance metrics,pooled_sensitivity_95ci,0.83–0.93,
Performance metrics,pooled_specificity,0.91,Specificity 91% (95% CI 0.84–0.95)
Performance metrics,pooled_specificity_95ci,0.84–0.95,
Performance metrics,pooled_plr,10.2,Positive likelihood ratio (95% CI 5.4–19.3)
Performance metrics,pooled_plr_95ci,5.4–19.3,
Performance metrics,pooled_nlr,0.13,Negative likelihood ratio (95% CI 0.08–0.19)
Performance metrics,pooled_nlr_95ci,0.08–0.19,
Performance metrics,pooled_dor,82,Diagnostic odds ratio (95% CI 31–212)
Performance metrics,pooled_dor_95ci,31–212,
Performance metrics,pooled_auc_sroc,0.95,AUC of SROC (95% CI 0.92–0.96)
Performance metrics,pooled_auc_95ci,0.92–0.96,
